d,cumulative_explained_variance
1,0.2736339997887956
2,0.434022981087628
3,0.5833807087619742
5,0.7611452657502797
7,0.8704171477797461
10,0.9455301164003937
15,0.9901190461593585
20,0.9992353827251
23,1.0
