train_fraction,n_train_rows,rmse,r2
0.2,3857,16.20536928252846,0.9461443257446489
0.4,7715,15.686187892260905,0.9495398625758817
0.6,11573,15.511631312361,0.9506566591280963
0.8,15431,15.265382912180158,0.9522108827536684
1.0,19289,15.166063871704658,0.9528307072252507
