experiment,city,source_city,target_city,model,model_type,seed,split_type,feature_set,target_scaling,rmse,mae,nrmse,r2,notes
same_city,Davis,Davis,,mean_baseline,classical,42,chronological_80_20,primary,none,71.84187070062322,60.7181902213153,0.2842014783338538,-0.0584463956251095,
same_city,Davis,Davis,,linear_regression,classical,42,chronological_80_20,primary,none,16.927720346770904,10.014675011380657,0.0669648924848029,0.9412361076102193,
same_city,Davis,Davis,,ridge,classical,42,chronological_80_20,primary,none,16.924545042391085,10.011142851902395,0.0669523311999963,0.9412581514224352,
same_city,Davis,Davis,,decision_tree,classical,42,chronological_80_20,primary,none,21.68030026560537,11.517670802405142,0.085765770380384,0.9036072902992136,
same_city,Davis,Davis,,random_forest,classical,42,chronological_80_20,primary,none,15.593540860210751,8.074454418577648,0.0616869705884872,0.9501341658091248,
same_city,Davis,Davis,,gradient_boosting,classical,42,chronological_80_20,primary,none,15.166063871704658,8.311423071632234,0.0599959011480295,0.9528307072252508,
same_city,Davis,Davis,,mlp,neural_network,42,chronological_80_20,primary,none,15.668278946501337,9.122879804448178,0.0619826292956517,0.9496550176408872,
same_city,Davis,Davis,,mean_baseline,classical,123,chronological_80_20,primary,none,71.84187070062322,60.7181902213153,0.2842014783338538,-0.0584463956251095,
same_city,Davis,Davis,,linear_regression,classical,123,chronological_80_20,primary,none,16.927720346770904,10.014675011380657,0.0669648924848029,0.9412361076102193,
same_city,Davis,Davis,,ridge,classical,123,chronological_80_20,primary,none,16.924545042391085,10.011142851902395,0.0669523311999963,0.9412581514224352,
same_city,Davis,Davis,,decision_tree,classical,123,chronological_80_20,primary,none,22.04420969556253,11.66026395189716,0.0872053709498686,0.9003441791747142,
same_city,Davis,Davis,,random_forest,classical,123,chronological_80_20,primary,none,15.583604218934228,8.084253199917065,0.0616476619219266,0.9501976973749,
same_city,Davis,Davis,,gradient_boosting,classical,123,chronological_80_20,primary,none,15.165972272451388,8.309101095678384,0.0599955387877104,0.9528312770051204,
same_city,Davis,Davis,,mlp,neural_network,123,chronological_80_20,primary,none,15.73444455027727,9.162305965804071,0.0622443758540944,0.9492289160079752,
