variable,davis_mean,davis_std,amherst_mean,amherst_std,standardized_mean_difference
GHI,631.6102770404777,266.31681392783037,451.44507135745107,280.56535450935786,0.6586577420698417
DNI,691.6588835434638,323.82529357490165,442.93710587454365,383.83895914085093,0.7004230517624892
DHI,136.61579296615793,83.05452044250305,158.92797875871224,105.21645777208968,-0.23539678251696192
Temperature,23.045371599203715,8.653382214089723,13.666735811483571,11.60137930841301,0.9164116797932983
Relative Humidity,75.08458526874585,85.28580746044898,60.901646199800865,18.376130265914604,0.2299060270608444
Wind Speed,2.814826642335767,1.4275283062159203,0.1425489545303684,0.23666158190459052,2.611705712459361
Solar Zenith Angle,44.398957365627076,15.728721142591128,47.958819283106536,16.073243316177784,-0.2238637204140863
Clear_Sky_Index,0.8747349403105299,0.24051086662320367,0.673790440360231,0.327242694305971,0.6997404864643195
Output Power,164.0152253185136,67.41473373837754,60.92999933620976,41.070441442111836,1.8467757691563536
