problem,city,task,model,balanced_accuracy,accuracy
1,Davis,sky,logistic,0.9841872086383626,0.9910843873108024
1,Davis,sky,random_forest,0.9857697291838868,0.9873522703711383
1,Davis,sky,hist_gradient_boosting,0.987425132631477,0.9923284262906904
1,Davis,sky,mlp,0.9816403190178932,0.9881816296910636
ridge,13.644113067713919,7.750129529316754,0.09065519834438278,2,same_city,Davis
random_forest,12.82386345945003,6.425073073413521,0.0852052368437688,2,same_city,Davis
hist_gradient_boosting,13.880322767104976,8.738716098940237,0.09222463983485493,2,same_city,Davis
mlp,12.647440176113639,7.131600835007689,0.08403303256313485,2,same_city,Davis
5,Davis,Amherst,zero_shot,53.66355928045475,42.96779847771865,0.8807411653922872
5,Davis,Amherst,few_shot_10,41.24802028281041,36.975059777556446,0.6769739081999125
5,Davis,Amherst,transfer_10,24.81937335511452,19.090205760745285,0.4073424145955122
5,Davis,Amherst,few_shot_50,22.150381288180302,18.11793395827564,0.36353817918933445
5,Davis,Amherst,transfer_50,21.001121561944693,15.980572323152083,0.34467621095250467
5,Davis,Amherst,few_shot_100,19.346860907988233,14.655785486714981,0.31752602792767354
5,Davis,Amherst,transfer_100,20.360735159091774,14.568083702519155,0.33416601233145493
3,Davis,PCA-2,0.4514252034836714,20.658864495655564,14.537108223147522,0.1372589890915359
3,Davis,PCA-5,0.7206657415689204,18.565760537544254,11.05607282147718,0.12335225508811243
3,Davis,PCA-10,0.8962888214090415,17.516904747861297,10.372213024213554,0.11638358140205567
4,Davis,classification,0.1,0.9334483526119657,0.9321550910105932,-0.0012932616013724418
4,Davis,classification,0.3,0.9398397002071968,0.9399147936294248,7.509342222800086e-05
4,Davis,classification,0.5,0.944357278675136,0.9479719467567301,0.0036146680815941634
2,sequence_GRU,Davis,GRU,42,165.63833672719005,150.22915649414062,1.1005131
2,sequence_GRU,Davis,GRU,42,66.1144286504939,52.692325592041016,0.43926904
