statistic,Clear_Sky_Index
count,108504.0
mean,0.8605616701724462
std,0.24860083749091777
min,0.01327433628318584
1%,0.07703494832041344
5%,0.2469837841096331
25%,0.8054218426501035
50%,1.0
75%,1.0
95%,1.0
99%,1.0
max,1.0
